Hour,kelvin
0.0,20.66486301459151
1.0,20.557757606864367
2.0,19.994166355569906
3.0,19.3745658273385
4.0,20.370923675952422
5.0,20.629311638986984
6.0,20.764970011458356
7.0,20.64937153098549
8.0,19.8367866817602
9.0,20.21245249058518
10.0,20.899841044465273
11.0,19.15036807855876
12.0,16.229065164598897
13.0,19.598276328447533
14.0,20.305829670873333
15.0,19.57537179874386
16.0,20.295798794456314
17.0,20.732693244010253
18.0,20.004203990661697
19.0,19.906529758174667
20.0,19.99840964116818
21.0,19.86924051000646
22.0,21.054068822023577
23.0,19.572692416968923
