Hour,kelvin
0.0,21.50848089119331
1.0,19.991356264926946
2.0,20.3168197462477
3.0,20.76187579743636
4.0,20.647477065353453
5.0,19.33074239551313
6.0,19.476082105190592
7.0,19.782370622244787
8.0,20.77635161314416
9.0,20.62839186742544
10.0,20.813482462726625
11.0,17.936158780167286
12.0,14.754092306998784
13.0,16.554605312878696
14.0,19.51450203803722
15.0,19.99452481439787
16.0,19.912297219693055
17.0,20.16332271212586
18.0,20.16829847234802
19.0,20.9547877928649
20.0,20.028759202702705
21.0,19.481058912865024
22.0,19.351477120760087
23.0,20.888110849061167
