Hour,kelvin
0.0,13.475624244587035
1.0,13.192134683374398
2.0,13.36498626656329
3.0,13.72877146080438
4.0,13.299460963628686
5.0,12.937678085351825
6.0,13.298756176812976
7.0,13.49193525023494
8.0,12.867203237039792
9.0,13.267050232239207
10.0,13.511077363079647
11.0,12.340934849644563
12.0,11.263763362565424
13.0,12.606327396888144
14.0,13.138674776635842
15.0,13.233757039854579
16.0,13.037589951613297
17.0,12.97441873868
18.0,13.34805593037525
19.0,13.591662308531502
20.0,13.353835120001065
21.0,13.37878319568839
22.0,13.21319143646715
23.0,13.448175259400516
