Hour,kelvin
0.0,13.251776125719315
1.0,13.371990587017278
2.0,13.69881496485153
3.0,13.616856380375895
4.0,13.445058449754047
5.0,13.688567483831285
6.0,12.981123048493364
7.0,13.627865268294837
8.0,13.460623297293957
9.0,13.081128036293658
10.0,13.762397158303632
11.0,11.898692136446835
12.0,10.895345503668525
13.0,12.913818526860624
14.0,13.289811522209567
15.0,13.46157685303345
16.0,13.14197811111359
17.0,13.203502775095425
18.0,12.541391500078236
19.0,13.65379566955514
20.0,13.00085583436249
21.0,13.011026947008421
22.0,13.61755789865972
23.0,13.18650351168491
