Hour,kelvin
0.0,56.081701771994105
1.0,63.07681161299751
2.0,61.75788533012307
3.0,63.1435801057182
4.0,61.83757415778969
5.0,62.43758289156843
6.0,64.38566503059691
7.0,63.994556292396446
8.0,63.37032952164168
9.0,65.41708013278296
10.0,61.97926794502726
11.0,29.395903823417683
12.0,17.331030115488446
13.0,20.330713811491126
14.0,62.876077142552745
15.0,61.76197415392635
16.0,63.19547750777514
17.0,62.109796312339846
18.0,63.4430701559612
19.0,61.405971103389454
20.0,62.179079372883024
21.0,65.2460430817597
22.0,65.5076407000334
23.0,63.29321493894341
