Hour,kelvin
0.0,56.672836037537365
1.0,62.17108586599646
2.0,60.99063101965043
3.0,64.95422641549504
4.0,64.99575236865093
5.0,62.29849218906654
6.0,64.37035834490428
7.0,64.8143508535573
8.0,63.41379747749728
9.0,65.73739191450821
10.0,62.26848024327875
11.0,33.204947501452594
12.0,22.5711876866358
13.0,52.40771457835543
14.0,64.4596154296066
15.0,61.410728653386506
16.0,61.0565120164648
17.0,63.082697847358574
18.0,62.30362597357125
19.0,62.820680174977845
20.0,61.867501170771405
21.0,60.24555224127892
22.0,62.961174775271736
23.0,64.22240740892376
