P1,T1,N2,MF
0.315546754813009,0.355311357835228,0.968266792156636,0.86243674934068
0.317774436142971,0.354166959613562,0.969350088390566,0.870363351800011
0.316801537471992,0.347611525700325,0.969988872207881,0.879180927465436
0.314952341892128,0.385334934397654,0.96743543531137,0.857826564632835
0.318428335936474,0.364977144522348,0.970836547808693,0.883902192753306
0.303686164301145,0.326900552419975,0.970459691429694,0.870456770061466
0.311859883557643,0.352914550524481,0.970704460600735,0.876750946250174
0.312975691215077,0.345960420745823,0.971834639616808,0.883929766107905
0.319190983680985,0.351186347159673,0.969953998654478,0.876355366362521
0.318495462831874,0.34704537941386,0.969594411479325,0.876011240247486
0.320068903378133,0.330314206059572,0.966988685273054,0.861028627754475
0.654600304005041,0.508575282561245,-0.00674160195677019,0.0026104891568546
0.306190846022282,0.350618004390489,-0.00674160195677019,0.0026104891568546
0.98444175944716,0.0658961211051238,0.737846063627326,0.246169030635566
0.313905323531721,0.295178876743928,0.968489581826929,0.872902387583751
0.313699461658536,0.347474094552191,0.970063569725517,0.877781737338381
0.321870072035587,0.356407164569376,0.967742905500433,0.869959753475442
0.318385581140678,0.354536146654222,0.968854946849091,0.875068626821871
0.316460059729204,0.366320194550512,0.970622807981915,0.879444542782425
0.315186427548865,0.322631767535032,0.96997835596735,0.876921435230554
0.326610686473235,0.382799863757545,0.968254690557884,0.871247165706029
0.326830076770668,0.388429015369549,0.968599528508349,0.873417690044203
0.323860226449876,0.370235279156376,0.968579504725674,0.873971362014994
0.332194033530712,0.409450145554128,0.967988884100321,0.869011304601097
