P1,T1,N2,MF
0.324010339047797,0.142448352690931,0.974937897102267,0.909127884817079
0.317899753240479,0.146557946557629,0.973753701750013,0.894429838179437
0.32237525760648,0.149662611612495,0.974070372181048,0.899000497240053
0.323616018551437,0.154773252179809,0.974060111924153,0.8973970611865
0.318068844888871,0.146265040659185,0.972459970068896,0.894762330464347
0.323766213969589,0.137632761009988,0.973687301826044,0.897994363058781
0.323728211355451,0.135250669126439,0.973438707732422,0.898009656956779
0.323039095953095,0.137872500370487,0.973527007509151,0.897028187161718
0.318263590750908,0.144830421037381,0.972097068634419,0.891184421083465
0.319599244626615,0.145170959044841,0.972525992276621,0.89202874496953
0.318952821081384,0.14996995500394,0.973907519319912,0.890140907848914
0.320812323957333,0.139140965540503,0.972280173506701,0.891113660028667
0.321200981278366,0.137853386153258,0.972388097640876,0.892218657717394
0.334837182874683,0.140539658864992,0.973030963032518,0.897884182466045
0.322664698284745,0.134280545842331,0.973493909666402,0.895524600777083
0.32398550140271,0.122679133710045,0.975107046912359,0.90993238191754
0.324527442117344,0.131450395883389,0.973977876060741,0.897358812428966
0.325661410321448,0.130391740001113,0.974512412047573,0.898500422006444
0.325158788605935,0.119489135246535,0.97336274002188,0.895835585279563
0.325632924890495,0.129757899135011,0.975483081379006,0.901096934477674
0.324503099723143,0.132397418571405,0.97549744189758,0.899905865823184
0.323124517463137,0.134650662915031,0.975586943716449,0.89906771318138
0.325140799701383,0.132286944385005,0.976280598523683,0.900134564750427
0.319981050839479,0.139962731930224,0.976238761013401,0.89607889782638
0.304606329845489,0.158832132921353,0.973266211528823,0.877940395875475
0.319017365785133,0.140311572872194,0.974799683877557,0.893964686286596
0.305753014277688,0.162212876276264,0.97407468215358,0.893257520885347
0.310454657222492,0.20138059235745,0.970771372294621,0.888672291397035
0.306634486630981,0.15698153162256,0.973003962428952,0.894746026379148
0.304079316493559,0.162486022249906,0.974467190509761,0.891799457985966
0.304221391274746,0.162395892069127,0.974658637018017,0.891627000873326
0.305105747320476,0.16408470132326,0.97436185809347,0.891683078743924
0.306814137332326,0.17132097208255,0.972754418306523,0.886491294241897
0.304752805272631,0.158333125716836,0.97154503902004,0.888761631148805
0.308260011690508,0.17679172648867,0.973480365222931,0.88980426998254
0.307483463382028,0.167662528377613,0.974640366201968,0.894689044812706
0.307392421853367,0.166626696239405,0.974743416872151,0.894259177747765
0.305707049333604,0.162784578016032,0.976988670759913,0.889041287095001
0.306509820783666,0.166648966641677,0.975283915976779,0.89319314781025
0.302975346028857,0.167558051990547,0.975919914696163,0.889776050478687
0.306639890346457,0.169072657289867,0.975964789117183,0.892637129135471
0.306607036002632,0.170056235921302,0.976221105403586,0.892510002608919
0.302616089731128,0.164933293678583,0.97335763634896,0.88410037858233
0.307319954646459,0.170031381259083,0.976618756344485,0.892814657982699
0.308324432668821,0.170709117147649,0.976727816436379,0.894082000491673
0.309077878689981,0.170643121153695,0.976470032132959,0.89506551699374
0.30869732644012,0.17250717831311,0.97711835332596,0.89471069705531
0.307859313024674,0.171792162024111,0.977329560172538,0.894381719115752
0.306024211775499,0.171579708868136,0.977106786051655,0.892663252981937
0.312142324238315,0.171363632413328,0.976393614760976,0.898365325592738
0.30554061347306,0.174519975302292,0.974485010062221,0.891127416745303
0.310457988665327,0.224353638802252,0.972990172983351,0.890225932435644
0.30542315493549,0.192522792836379,0.973234231942594,0.890226529599693
0.305141791403783,0.177970642595889,0.973294990899432,0.890649751840426
0.305805540743046,0.176893012943778,0.973742439173671,0.891478650450323
0.305619682602387,0.176281577690772,0.973639338519799,0.891645507343775
0.307937301290176,0.167260904030213,0.974511886054094,0.896458892722147
0.305213854400053,0.163280290079743,0.973759929900506,0.890166401180449
0.30557830264532,0.16162390335789,0.974490586820343,0.89527035400772
0.304499403021408,0.166975142191423,0.9739566648362,0.891722744835788
0.305050580544269,0.168979822446308,0.974123510391952,0.892038964681322
0.304021201852481,0.163715955781063,0.973343520433519,0.889045211695686
0.305239845882001,0.166836821566453,0.974201221134177,0.892434025336406
0.305161740995052,0.161947860632408,0.97330681464009,0.892590630828091
0.306056783326677,0.165628745233931,0.974662388103976,0.893165417895372
0.305979592065767,0.165134618091734,0.974606958161831,0.893064003230378
0.307843896093138,0.170713243625862,0.975139337164765,0.897017628099469
0.307114475716123,0.170534862928219,0.97529832775233,0.894120924914004
0.306859846189929,0.17083021870973,0.975478353860523,0.894124415447934
0.306453644678896,0.171673892590726,0.975369939915486,0.893897746929706
0.306253724734464,0.168149615698117,0.97552896690971,0.894037785170247
0.305901124646215,0.171650313830374,0.975640346268122,0.894348583202521
0.304452135551043,0.170108548355925,0.975526845705085,0.89561859709484
0.306011525289505,0.171673735824731,0.976005644442212,0.894398269758213
0.306107039884758,0.162079435274017,0.975584492072501,0.895175807219419
0.308290544653169,0.165103542355992,0.974729826158075,0.892009571501958
0.305284546479491,0.153599629155712,0.973920559024028,0.891012890437441
0.305985029925312,0.164884936737315,0.973775931376194,0.889848289591086
0.305895888417736,0.166448794356538,0.974212602556444,0.891163920676888
0.305816195296634,0.164906250914028,0.97385621348377,0.890304172758443
0.305246332979765,0.168888735654755,0.974030776041741,0.891175359357594
0.303041284942516,0.155570766433039,0.974788090595256,0.890288881771401
0.306390859700309,0.169038202615756,0.97390733363506,0.888750738842226
0.306877020610232,0.166351765904545,0.974629491752883,0.8940550473127
0.306568086283289,0.16548073299254,0.974629939548941,0.894114875051117
0.30985910513812,0.158464451881225,0.975203762975653,0.897450596956895
0.306519664592053,0.166333734637961,0.974179560968223,0.892439928381582
0.302638193236908,0.163231443406939,0.973804785972143,0.888876380334873
0.306306223611159,0.168114393780896,0.974231578633542,0.892615582382737
0.306226998340366,0.168094226316127,0.973872495107688,0.89156955830328
0.302694353705344,0.167181789878818,0.973711043738687,0.889230351583885
0.305554276430277,0.165576476912748,0.973858847031902,0.890775268384558
0.305817899819524,0.163986233713406,0.974063598197775,0.891352027861219
0.305848363380555,0.161515405218011,0.97381581953122,0.890779313231745
0.306011482378463,0.163993763439787,0.973823078874131,0.890226586264289
0.30557299117437,0.16077813852031,0.973770947870446,0.890124549503381
0.305101816326855,0.158109058806788,0.974086746451901,0.893937701079663
0.306217911083127,0.156671035751579,0.974623060580716,0.893707308123842
0.308123432586636,0.155929266680245,0.974896466469129,0.894077185781345
0.308023836101884,0.163441260855203,0.975143647768599,0.897541777987369
0.308696712901266,0.176498074201686,0.974497346554441,0.89389498725495
0.306159046965374,0.152883649495201,0.974675503128035,0.893121776144137
0.306712788352653,0.154772879277843,0.974771846421491,0.892442013151213
0.30650960265681,0.158647627006169,0.974499465952244,0.891445471752346
0.307780807346013,0.159559325524818,0.974408494259606,0.886336308165227
0.309653693790849,0.16167925783576,0.974770092759946,0.892605094666316
0.305489564562208,0.170718419651455,0.974652261412411,0.885787047274448
0.306751856642293,0.186834622030609,0.973974270793556,0.887686547938649
0.307128543315625,0.184058847518787,0.973993740807648,0.887948502773344
0.307888073834612,0.152906910145306,0.975230569497634,0.89323728972053
0.306166386472589,0.173626066515941,0.973893944009343,0.887841163004986
0.307382660948188,0.157526686843056,0.974066675743471,0.887967983959444
0.306014315165926,0.16881019387574,0.97387194664489,0.887208092833461
0.305415901836336,0.16560689534816,0.973698436619559,0.88705132505006
0.307197171374273,0.1564416648307,0.974435292807562,0.891638807854935
0.305788577123694,0.164389329994379,0.973843185016894,0.887202168842654
0.30597141067639,0.172342199491802,0.973860782339164,0.886685757500829
0.30582851866902,0.178948166837122,0.973608032631993,0.886213412943786
0.305069183074203,0.174074320971153,0.97375189449688,0.886066547343489
0.305255861121494,0.166349762819738,0.973971227325513,0.887500287072412
0.306458193518053,0.160139220164116,0.973867582551275,0.887801446188203
0.30719813012798,0.208036604484523,0.973470531010668,0.884042112435283
0.305693082910193,0.168729272215528,0.974626005114062,0.889832675600371
0.304766876362903,0.167897366913748,0.974783895372287,0.891755896266355
0.307770974348013,0.193022332171835,0.974066382899457,0.891385323870191
